gene_label,ct_label,as_label,as,ct,gene
ABLIM1,mature CD4 single-positive thymocyte,thymus,http://purl.obolibrary.org/obo/UBERON_0002370,http://purl.obolibrary.org/obo/CL_0002436,http://identifiers.org/hgnc/78
AC002066.1,MSN_206 medium spiny neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051207,https://purl.org/ccf/ASCTB-TEMP_ac002066-1
AC002066.1,MSN_206 medium spiny neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051207,https://purl.org/ccf/ASCTB-TEMP_ac002066-1
AC003099.2,Splat_335 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051336,https://purl.org/ccf/ASCTB-TEMP_ac003099-2
AC004538.3,CA13_179 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051180,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_180 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051181,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_181 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051182,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_182 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051183,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_183 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051184,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_184 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051185,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_187 hippocampal CA1-3 neuron (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051188,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_179 hippocampal CA1-3 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051180,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_180 hippocampal CA1-3 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051181,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_181 hippocampal CA1-3 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051182,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_182 hippocampal CA1-3 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051183,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_183 hippocampal CA1-3 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051184,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_184 hippocampal CA1-3 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051185,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004538.3,CA13_187 hippocampal CA1-3 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051188,https://purl.org/ccf/ASCTB-TEMP_ac004538-3
AC004862.6,CA13_163 hippocampal CA1-3 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051164,https://purl.org/ccf/ASCTB-TEMP_ac004862-6
AC005150.1,DLIT_137 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051138,https://purl.org/ccf/ASCTB-TEMP_ac005150-1
AC005150.1,DLIT_143 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051144,https://purl.org/ccf/ASCTB-TEMP_ac005150-1
AC005150.1,DLIT_139 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051140,https://purl.org/ccf/ASCTB-TEMP_ac005150-1
AC005150.1,DLIT_144 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051145,https://purl.org/ccf/ASCTB-TEMP_ac005150-1
AC007682.1,Epen_73 ependymal cell (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051074,https://purl.org/ccf/ASCTB-TEMP_ac007682-1
AC010091.1,Midi_438 midbrain-derived inhibitory neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051439,https://purl.org/ccf/ASCTB-TEMP_ac010091-1
AC011288.2,ULIT_121 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051122,https://purl.org/ccf/ASCTB-TEMP_ac011288-2
AC011288.2,Misc_404 cerebral cortex neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051405,https://purl.org/ccf/ASCTB-TEMP_ac011288-2
AC018717.1,Epen_69 ependymal cell (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051070,https://purl.org/ccf/ASCTB-TEMP_ac018717-1
AC018717.1,Epen_73 ependymal cell (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051074,https://purl.org/ccf/ASCTB-TEMP_ac018717-1
AC018717.1,Epen_66 ependymal cell (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051067,https://purl.org/ccf/ASCTB-TEMP_ac018717-1
AC064875.2,DLCT6b_102 glutamatergic neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051103,https://purl.org/ccf/ASCTB-TEMP_ac064875-2
AC067959.1,ULIT_131 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051132,https://purl.org/ccf/ASCTB-TEMP_ac067959-1
AC067959.1,Amex_162 amygdala excitatory neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051163,https://purl.org/ccf/ASCTB-TEMP_ac067959-1
AC067959.1,Splat_344 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051345,https://purl.org/ccf/ASCTB-TEMP_ac067959-1
AC079135.1,Splat_349 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051350,https://purl.org/ccf/ASCTB-TEMP_ac079135-1
AC084149.2,COP_41 committed oligodendrocyte precursor (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051042,https://purl.org/ccf/ASCTB-TEMP_ac084149-2
AC084149.2,Oligo_49 oligodendrocyte (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051050,https://purl.org/ccf/ASCTB-TEMP_ac084149-2
AC092684.1,Amex_173 amygdala excitatory neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051174,https://purl.org/ccf/ASCTB-TEMP_ac092684-1
AC092684.1,Thex_450 thalamic excitatory neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051451,https://purl.org/ccf/ASCTB-TEMP_ac092684-1
AC092684.1,Thex_451 thalamic excitatory neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051452,https://purl.org/ccf/ASCTB-TEMP_ac092684-1
AC114765.1,DLCT6b_109 glutamatergic neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051110,https://purl.org/ccf/ASCTB-TEMP_ac114765-1
AC133680.1,EMSN_233 medium spiny neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051234,https://purl.org/ccf/ASCTB-TEMP_ac133680-1
AC133680.1,MGE_261 pvalb GABAergic cortical interneuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051262,https://purl.org/ccf/ASCTB-TEMP_ac133680-1
AC133680.1,MGE_263 medial ganglionic eminence derived interneuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051264,https://purl.org/ccf/ASCTB-TEMP_ac133680-1
AC133680.1,CGE_289 VIP GABAergic cortical interneuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051290,https://purl.org/ccf/ASCTB-TEMP_ac133680-1
ACKR1,blood vessel endothelial cell,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/4035
ACKR1,Splenic Littoral Cell,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,https://purl.org/ccf/ASCTB-TEMP_splenic-littoral-cell,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell,uterus,http://purl.obolibrary.org/obo/UBERON_0000995,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,endothelial cell,descending thoracic aorta,http://purl.obolibrary.org/obo/UBERON_0002345,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,vein endothelial cell of respiratory system,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_4033008,http://identifiers.org/hgnc/4035
ACKR1,vein endothelial cell of respiratory system,lung,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_4033008,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell,abdominal aorta,http://purl.obolibrary.org/obo/UBERON_0001516,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,endothelial cell,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,lymphatic endothelial cell of subcapsular sinus floor,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,http://purl.obolibrary.org/obo/CL_0009108,http://identifiers.org/hgnc/4035
ACKR1,endothelial cell,ascending aorta,http://purl.obolibrary.org/obo/UBERON_0001496,http://purl.obolibrary.org/obo/CL_0000115,https://purl.org/ccf/ASCTB-TEMP_ackr1
ACKR1,Splenic Littoral Cell,heart,http://purl.obolibrary.org/obo/UBERON_0000948,https://purl.org/ccf/ASCTB-TEMP_splenic-littoral-cell,http://identifiers.org/hgnc/4035
ACKR1,Splenic Littoral Cell,liver,http://purl.obolibrary.org/obo/UBERON_0002107,https://purl.org/ccf/ASCTB-TEMP_splenic-littoral-cell,http://identifiers.org/hgnc/4035
ACKR4,lymphatic endothelial cell of medulla ceiling,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,http://purl.obolibrary.org/obo/CL_0009110,http://identifiers.org/hgnc/1611
ACKR4,endothelial cell of lymphatic vessel,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/1611
ACKR4,endothelial cell of lymphatic vessel,liver,http://purl.obolibrary.org/obo/UBERON_0002107,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/1611
ACKR4,endothelial cell of lymphatic vessel,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/1611
ACKR4,endothelial cell of lymphatic vessel,thymus,http://purl.obolibrary.org/obo/UBERON_0002370,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/1611
ACKR4,lymphatic endothelial cell of subcapsular sinus ceiling,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,http://purl.obolibrary.org/obo/CL_0009107,http://identifiers.org/hgnc/1611
ACKR4,lymphatic endothelial cell of subcapsular sinus floor,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,http://purl.obolibrary.org/obo/CL_0009108,http://identifiers.org/hgnc/1611
ACKR4,lymphatic endothelial cell of trabecula,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,http://purl.obolibrary.org/obo/CL_0009109,http://identifiers.org/hgnc/1611
ACSM2A,epithelial cell of proximal tubule segment 2,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_4030010,http://identifiers.org/hgnc/32017
ACTA1,myo-medullary thymic epithelial cell,thymus,http://purl.obolibrary.org/obo/UBERON_0002370,http://purl.obolibrary.org/obo/CL_0009075,http://identifiers.org/hgnc/129
ACTA2,vascular associated smooth muscle cell,blood vessel,http://purl.obolibrary.org/obo/UBERON_0001981,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130
ACTA2,vascular associated smooth muscle cell,descending thoracic aorta,http://purl.obolibrary.org/obo/UBERON_0002345,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130
ACTA2,vascular associated smooth muscle cell,left coronary artery,http://purl.obolibrary.org/obo/UBERON_0001626,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130
ACTA2,smooth muscle cell of the coronary artery,left coronary artery,http://purl.obolibrary.org/obo/UBERON_0001626,http://purl.obolibrary.org/obo/CL_0002592,http://identifiers.org/hgnc/130
ACTA2,blood vessel endothelial cell,blood vessel,http://purl.obolibrary.org/obo/UBERON_0001981,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/130
ACTA2,secondary crest myofibroblast,lung,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_4033016,http://identifiers.org/hgnc/130
ACTA2,blood vessel endothelial cell,left coronary artery,http://purl.obolibrary.org/obo/UBERON_0001626,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/130
ACTA2,vascular associated smooth muscle cell,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130
ACTA2,vascular associated smooth muscle cell,abdominal aorta,http://purl.obolibrary.org/obo/UBERON_0001516,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130
ACTA2,vascular associated smooth muscle cell,ascending aorta,http://purl.obolibrary.org/obo/UBERON_0001496,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130
ACTA2,Vsmc_19 brain vascular cell (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051020,http://identifiers.org/hgnc/130
ACTA2,Vsmc_20 smooth muscle cell of the brain vasculature (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051021,http://identifiers.org/hgnc/130
ACTA2,vascular associated smooth muscle cell,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130
ACTA2,pericyte,blood vessel,http://purl.obolibrary.org/obo/UBERON_0001981,http://purl.obolibrary.org/obo/CL_0000669,http://identifiers.org/hgnc/130
ACTA2,smooth muscle cell of the coronary artery,ascending aorta,http://purl.obolibrary.org/obo/UBERON_0001496,http://purl.obolibrary.org/obo/CL_0002592,http://identifiers.org/hgnc/130
ACTA2,blood vessel endothelial cell,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/130
ACTA2,kidney interstitial myofibroblast,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1000691,http://identifiers.org/hgnc/130
ACTA2,blood vessel endothelial cell,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/130
ACTA2,vascular associated smooth muscle cell,subcutaneous adipose tissue,http://purl.obolibrary.org/obo/UBERON_0002190,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130
ACTA2,type I cell of carotid body,subcutaneous adipose tissue,http://purl.obolibrary.org/obo/UBERON_0002190,http://purl.obolibrary.org/obo/CL_0002292,http://identifiers.org/hgnc/130
ACTA2,lymph node marginal reticular cell,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,http://purl.obolibrary.org/obo/CL_0009103,http://identifiers.org/hgnc/130
ACTA2,vascular associated smooth muscle cell,uterus,http://purl.obolibrary.org/obo/UBERON_0000995,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130
ACTA2,myofibroblast cell,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,http://purl.obolibrary.org/obo/CL_0000186,http://identifiers.org/hgnc/130
ACTA2,lymphatic vessel smooth muscle cell,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/CL_0019017,http://identifiers.org/hgnc/130
ACTA2,vascular associated smooth muscle cell,interventricular septum,http://purl.obolibrary.org/obo/UBERON_0002094,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130
ACTA2,blood vessel endothelial cell,ascending aorta,http://purl.obolibrary.org/obo/UBERON_0001496,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/130
ACTA2,smooth muscle cell of the coronary artery,heart,http://purl.obolibrary.org/obo/UBERON_0000948,http://purl.obolibrary.org/obo/CL_0002592,http://identifiers.org/hgnc/130
ACTA2,lymphatic vessel smooth muscle cell,liver,http://purl.obolibrary.org/obo/UBERON_0002107,http://purl.obolibrary.org/obo/CL_0019017,http://identifiers.org/hgnc/130
ACTA2,myofibroblast cell,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/CL_0000186,http://identifiers.org/hgnc/130
ACTA2,blood vessel smooth muscle cell,liver,http://purl.obolibrary.org/obo/UBERON_0002107,http://purl.obolibrary.org/obo/CL_0019018,http://identifiers.org/hgnc/130
ACTA2,myoepithelial cell of bronchus submucosal gland,trachea,http://purl.obolibrary.org/obo/UBERON_0003126,http://purl.obolibrary.org/obo/CL_4033003,http://identifiers.org/hgnc/130
ACTA2,bronchiolar smooth muscle cell,lung,http://purl.obolibrary.org/obo/UBERON_0002048,http://purl.obolibrary.org/obo/CL_4033017,http://identifiers.org/hgnc/130
ACTA2,T cell zone reticular cell,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,http://purl.obolibrary.org/obo/CL_0009105,http://identifiers.org/hgnc/130
ACTA2,blood vessel smooth muscle cell,descending thoracic aorta,http://purl.obolibrary.org/obo/UBERON_0002345,http://purl.obolibrary.org/obo/CL_0019018,http://identifiers.org/hgnc/130
ACTA2,blood vessel endothelial cell,lymph node,http://purl.obolibrary.org/obo/UBERON_0000029,http://purl.obolibrary.org/obo/CL_0000071,http://identifiers.org/hgnc/130
ACTA2,myofibroblast cell,small intestine,http://purl.obolibrary.org/obo/UBERON_0002108,http://purl.obolibrary.org/obo/CL_0000186,http://identifiers.org/hgnc/130
ACTA2,myoepithelial cell of trachea gland,trachea,http://purl.obolibrary.org/obo/UBERON_0003126,http://purl.obolibrary.org/obo/CL_4033021,http://identifiers.org/hgnc/130
ACTA2,pericryptal fibroblastic sheath,ascending colon,http://purl.obolibrary.org/obo/UBERON_0001156,https://purl.org/ccf/ASCTB-TEMP_pericryptal-fibroblastic-sheath,http://identifiers.org/hgnc/130
ACTA2,subepithelial membrane,ascending colon,http://purl.obolibrary.org/obo/UBERON_0001156,https://purl.org/ccf/ASCTB-TEMP_subepithelial-membrane,http://identifiers.org/hgnc/130
ACTA2,myofibroblast cell,ascending colon,http://purl.obolibrary.org/obo/UBERON_0001156,http://purl.obolibrary.org/obo/CL_0000186,http://identifiers.org/hgnc/130
ACTA2,blood vessel smooth muscle cell,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_0019018,http://identifiers.org/hgnc/130
ACTA2,renal interstitial pericyte,kidney,http://purl.obolibrary.org/obo/UBERON_0002113,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/130
ACTA2,smooth muscle cell,ascending colon,http://purl.obolibrary.org/obo/UBERON_0001156,http://purl.obolibrary.org/obo/CL_0000192,http://identifiers.org/hgnc/130
ACTA2,smooth muscle cell,sigmoid colon,http://purl.obolibrary.org/obo/UBERON_0001159,http://purl.obolibrary.org/obo/CL_0000192,http://identifiers.org/hgnc/130
ACTA2,stromal cell,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,http://purl.obolibrary.org/obo/CL_0000499,http://identifiers.org/hgnc/130
ACTA2,Splenic Smooth Muscle Cell,spleen,http://purl.obolibrary.org/obo/UBERON_0002106,https://purl.org/ccf/ASCTB-TEMP_splenic-smooth-muscle-cell,http://identifiers.org/hgnc/130
ACTA2,Splenic Stromal Cell (non-FRC/non-FDC),spleen,http://purl.obolibrary.org/obo/UBERON_0002106,https://purl.org/ccf/ASCTB-TEMP_splenic-stromal-cell-non-frc-non-fdc-,http://identifiers.org/hgnc/130
