phenotype,phenotype_label,as,ct
HP:0041080,Abnormal proportion of exhausted T cells,,http://purl.obolibrary.org/obo/CL_0000084
HP:0011840,Abnormality of T cell physiology,,http://purl.obolibrary.org/obo/CL_0000084
HP:0025624,Decreased CD4+ effector memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0005415,Decreased CD8+ T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0500266,Decreased CD8+ TEMRA T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410385,Decreased CD8+ memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410389,Decreased central memory CD8+ T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410390,Decreased effector memory CD8+ T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0500271,Decreased gamma-delta T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0032183,Decreased memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410378,Decreased naive CD4-positive T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0032218,Decreased proportion of CD4-positive T cells,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410386,Decreased proportion of CD4-positive memory T cells,,http://purl.obolibrary.org/obo/CL_0000084
HP:0500274,Decreased proportion of immature gamma-delta T cells,,http://purl.obolibrary.org/obo/CL_0000084
HP:0031397,Decreased proportion of naive T cells,,http://purl.obolibrary.org/obo/CL_0000084
HP:0005403,Decreased total T cell count,,http://purl.obolibrary.org/obo/CL_0000084
HP:0025625,Increased CD4+ effector memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410391,Increased CD4+ memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0500265,Increased CD8+ TEMRA T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410392,Increased CD8+ memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410396,Increased central memory CD8+ T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410395,Increased effector memory CD8+ T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0500270,Increased gamma-delta T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0410375,Increased naive CD4-positive T cell proportion,,http://purl.obolibrary.org/obo/CL_0000084
HP:0032219,Increased proportion of CD4-positive T cells,,http://purl.obolibrary.org/obo/CL_0000084
HP:0031514,Increased proportion of exhausted T cells,,http://purl.obolibrary.org/obo/CL_0000084
HP:0500273,Increased proportion of immature gamma-delta T cells,,http://purl.obolibrary.org/obo/CL_0000084
HP:0031398,Increased proportion of naive T cells,,http://purl.obolibrary.org/obo/CL_0000084
HP:0100828,Increased total T cell count,,http://purl.obolibrary.org/obo/CL_0000084
HP:0001911,Abnormal granulocyte morphology,,http://purl.obolibrary.org/obo/CL_0000094
HP:0012234,Absence of circulating granulocytes,,http://purl.obolibrary.org/obo/CL_0000094
HP:0001913,Decreased total granulocyte count,,http://purl.obolibrary.org/obo/CL_0000094
HP:0100494,Abnormal mast cell morphology,,http://purl.obolibrary.org/obo/CL_0000097
HP:0100495,Mastocytosis,,http://purl.obolibrary.org/obo/CL_0000097
HP:0002450,Abnormal motor neuron morphology,,http://purl.obolibrary.org/obo/CL_0000100
HP:0002398,Degeneration of anterior horn cells,,http://purl.obolibrary.org/obo/CL_0000100
HP:0007373,Motor neuron atrophy,,http://purl.obolibrary.org/obo/CL_0000100
HP:0006959,Proximal spinal muscular atrophy,,http://purl.obolibrary.org/obo/CL_0000100
HP:0007269,Spinal muscular atrophy,,http://purl.obolibrary.org/obo/CL_0000100
HP:0003134,Abnormality of peripheral nerve conduction,,http://purl.obolibrary.org/obo/CL_0000111
HP:0000762,Decreased nerve conduction velocity,,http://purl.obolibrary.org/obo/CL_0000111
HP:0007001,Loss of Purkinje cells in the cerebellar vermis,,http://purl.obolibrary.org/obo/CL_0000121
HP:0100705,Abnormal glial cell morphology,,http://purl.obolibrary.org/obo/CL_0000125
HP:0100707,Abnormal astrocyte morphology,,http://purl.obolibrary.org/obo/CL_0000127
HP:0002446,Astrocytosis,,http://purl.obolibrary.org/obo/CL_0000127
HP:0100706,Abnormal oligodendroglia morphology,,http://purl.obolibrary.org/obo/CL_0000128
HP:0100709,Reduction of oligodendroglia,,http://purl.obolibrary.org/obo/CL_0000128
HP:0100708,Abnormal microglia morphology,,http://purl.obolibrary.org/obo/CL_0000129
HP:0006279,Beta-cell dysfunction,,http://purl.obolibrary.org/obo/CL_0000169
HP:0006274,Reduced pancreatic beta cells,,http://purl.obolibrary.org/obo/CL_0000169
HP:0010789,Abnormality of the Leydig cells,,http://purl.obolibrary.org/obo/CL_0000178
HP:0010791,Hyperplasia of the Leydig cells,,http://purl.obolibrary.org/obo/CL_0000178
HP:0010790,Hypoplasia of the Leydig cells,,http://purl.obolibrary.org/obo/CL_0000178
HP:0006561,Lipid accumulation in hepatocytes,,http://purl.obolibrary.org/obo/CL_0000182
HP:0031137,Storage in hepatocytes,,http://purl.obolibrary.org/obo/CL_0000182
HP:0100299,Muscle fiber inclusion bodies,,http://purl.obolibrary.org/obo/CL_0000187
HP:0004303,Abnormal muscle fiber morphology,,http://purl.obolibrary.org/obo/CL_0000188
HP:0100293,Hypertrophied muscle fibers,,http://purl.obolibrary.org/obo/CL_0000188
HP:0003557,Increased variability in muscle fiber diameter,,http://purl.obolibrary.org/obo/CL_0000188
HP:0100295,Muscle fiber atrophy,,http://purl.obolibrary.org/obo/CL_0000188
HP:0410196,Abnormal erythrocyte UDP glucose-4-epimerase concentration,,http://purl.obolibrary.org/obo/CL_0000232
HP:0001877,Abnormal erythrocyte morphology,,http://purl.obolibrary.org/obo/CL_0000232
HP:0020054,Abnormal erythrocyte physiology,,http://purl.obolibrary.org/obo/CL_0000232
HP:0410184,Abnormal glucose-6-phosphate dehydrogenase level in red blood cells,,http://purl.obolibrary.org/obo/CL_0000232
HP:0004823,Anisopoikilocytosis,,http://purl.obolibrary.org/obo/CL_0000232
HP:0410198,Decreased erythrocyte UDP glucose-4-epimerase concentration,,http://purl.obolibrary.org/obo/CL_0000232
HP:0410188,Decreased glucose-6-phosphate dehydrogenase level in red blood cells,,http://purl.obolibrary.org/obo/CL_0000232
HP:0410197,Increased erythrocyte UDP glucose-4-epimerase concentration,,http://purl.obolibrary.org/obo/CL_0000232
HP:0012187,Increased erythrocyte protoporphyrin concentration,,http://purl.obolibrary.org/obo/CL_0000232
HP:0410189,Increased glucose-6-phosphate dehydrogenase level in red blood cells,,http://purl.obolibrary.org/obo/CL_0000232
HP:0410064,Increased level of galactitol in red blood cells,,http://purl.obolibrary.org/obo/CL_0000232
HP:0410063,Increased level of galactonate in red blood cells,,http://purl.obolibrary.org/obo/CL_0000232
HP:0001876,Pancytopenia,,http://purl.obolibrary.org/obo/CL_0000232
HP:0004447,Poikilocytosis,,http://purl.obolibrary.org/obo/CL_0000232
HP:0004444,Spherocytosis,,http://purl.obolibrary.org/obo/CL_0000232
HP:0011873,Abnormal platelet count,,http://purl.obolibrary.org/obo/CL_0000233
HP:0011869,Abnormal platelet function,,http://purl.obolibrary.org/obo/CL_0000233
HP:0011875,Abnormal platelet morphology,,http://purl.obolibrary.org/obo/CL_0000233
HP:0012524,Abnormal platelet shape,,http://purl.obolibrary.org/obo/CL_0000233
HP:0011876,Abnormal platelet volume,,http://purl.obolibrary.org/obo/CL_0000233
HP:0001872,Abnormality of thrombocytes,,http://purl.obolibrary.org/obo/CL_0000233
HP:0005537,Decreased mean platelet volume,,http://purl.obolibrary.org/obo/CL_0000233
HP:0001902,Giant platelets,,http://purl.obolibrary.org/obo/CL_0000233
HP:0011877,Increased mean platelet volume,,http://purl.obolibrary.org/obo/CL_0000233
HP:0001876,Pancytopenia,,http://purl.obolibrary.org/obo/CL_0000233
HP:0001873,Thrombocytopenia,,http://purl.obolibrary.org/obo/CL_0000233
HP:0001894,Thrombocytosis,,http://purl.obolibrary.org/obo/CL_0000233
HP:0030326,Abnormal macrophage count,,http://purl.obolibrary.org/obo/CL_0000235
HP:0004311,Abnormal macrophage morphology,,http://purl.obolibrary.org/obo/CL_0000235
HP:0010975,Abnormal B cell count,,http://purl.obolibrary.org/obo/CL_0000236
HP:0002846,Abnormal B cell morphology,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030386,Abnormal class-switched memory B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030376,Abnormal immature B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030373,Abnormal memory B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030370,Abnormal naive B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0032127,Abnormal plasmablast proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030383,Abnormal proportion of marginal zone B cells,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030379,Abnormal transitional B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0032124,Abnormal unswitched memory B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0005372,Abnormality of B cell physiology,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030388,Decreased class-switched memory B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030378,Decreased immature B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030372,Decreased naive B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030384,Decreased proportion of marginal zone B cells,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030374,Decreased proportion of memory B cells,,http://purl.obolibrary.org/obo/CL_0000236
HP:0032129,Decreased proportion of plasmablasts,,http://purl.obolibrary.org/obo/CL_0000236
HP:0010976,Decreased total B cell count,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030380,Decreased transitional B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0032126,Decreased unswitched memory B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030387,Increased class-switched memory B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030377,Increased immature B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0032184,Increased memory T cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030371,Increased naive B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030385,Increased proportion of marginal zone B cells,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030375,Increased proportion of memory B cells,,http://purl.obolibrary.org/obo/CL_0000236
HP:0032128,Increased proportion of plasmablasts,,http://purl.obolibrary.org/obo/CL_0000236
HP:0005404,Increased total B cell count,,http://purl.obolibrary.org/obo/CL_0000236
HP:0030381,Increased transitional B cell proportion,,http://purl.obolibrary.org/obo/CL_0000236
HP:0005365,Severe B lymphocytopenia,,http://purl.obolibrary.org/obo/CL_0000236
HP:0012757,Abnormal neuron morphology,,http://purl.obolibrary.org/obo/CL_0000540
HP:0200147,Neuronal loss in basal ganglia,,http://purl.obolibrary.org/obo/CL_0000540
HP:0002529,Neuronal loss in central nervous system,,http://purl.obolibrary.org/obo/CL_0000540
HP:0007190,Neuronal loss in the cerebral cortex,,http://purl.obolibrary.org/obo/CL_0000540
HP:0002493,Upper motor neuron dysfunction,,http://purl.obolibrary.org/obo/CL_0000540
HP:0040088,Abnormal lymphocyte count,,http://purl.obolibrary.org/obo/CL_0000542
HP:0004332,Abnormal lymphocyte morphology,,http://purl.obolibrary.org/obo/CL_0000542
HP:0001888,Decreased total lymphocyte count,,http://purl.obolibrary.org/obo/CL_0000542
HP:0100827,Increased total lymphocyte count,,http://purl.obolibrary.org/obo/CL_0000542
HP:0001922,Vacuolated lymphocytes,,http://purl.obolibrary.org/obo/CL_0000542
HP:0025035,Abnormal proerythroblast morphology,,http://purl.obolibrary.org/obo/CL_0000547
HP:0012143,Abnormal megakaryocyte morphology,,http://purl.obolibrary.org/obo/CL_0000556
HP:0005513,Increased megakaryocyte count,,http://purl.obolibrary.org/obo/CL_0000556
HP:0005548,Megakaryocytopenia,,http://purl.obolibrary.org/obo/CL_0000556
HP:0001896,Reticulocytopenia,,http://purl.obolibrary.org/obo/CL_0000558
HP:0001923,Reticulocytosis,,http://purl.obolibrary.org/obo/CL_0000558
HP:0012310,Abnormal monocyte count,,http://purl.obolibrary.org/obo/CL_0000576
HP:0012144,Abnormal monocyte morphology,,http://purl.obolibrary.org/obo/CL_0000576
HP:0012312,Decreased total monocyte count,,http://purl.obolibrary.org/obo/CL_0000576
HP:0012311,Increased total monocyte count,,http://purl.obolibrary.org/obo/CL_0000576
HP:0012862,Abnormal germ cell morphology,,http://purl.obolibrary.org/obo/CL_0000586
HP:0012176,Abnormal natural killer cell morphology,,http://purl.obolibrary.org/obo/CL_0000623
HP:0012177,Abnormal natural killer cell physiology,,http://purl.obolibrary.org/obo/CL_0000623
HP:0040089,Abnormal total natural killer cell count,,http://purl.obolibrary.org/obo/CL_0000623
HP:0040219,Absent natural killer cells,,http://purl.obolibrary.org/obo/CL_0000623
HP:0040218,Reduced total natural killer cell count,,http://purl.obolibrary.org/obo/CL_0000623
HP:0005422,Absence of CD8-positive T cells,,http://purl.obolibrary.org/obo/CL_0000625
HP:0410183,Abnormal glucose-6-phosphate dehydrogenase level in leukocytes,,http://purl.obolibrary.org/obo/CL_0000738
HP:0011893,Abnormal leukocyte count,,http://purl.obolibrary.org/obo/CL_0000738
HP:0001881,Abnormal leukocyte morphology,,http://purl.obolibrary.org/obo/CL_0000738
HP:0008161,Absent leukocyte alkaline phosphatase,,http://purl.obolibrary.org/obo/CL_0000738
HP:0410190,Decreased glucose-6-phosphate dehydrogenase level in leukocytes,,http://purl.obolibrary.org/obo/CL_0000738
HP:0001882,Decreased total leukocyte count,,http://purl.obolibrary.org/obo/CL_0000738
HP:0008318,Elevated leukocyte alkaline phosphatase,,http://purl.obolibrary.org/obo/CL_0000738
HP:0410191,Increased glucose-6-phosphate dehydrogenase level in leukocytes,,http://purl.obolibrary.org/obo/CL_0000738
HP:0001974,Increased total leukocyte count,,http://purl.obolibrary.org/obo/CL_0000738
HP:0001876,Pancytopenia,,http://purl.obolibrary.org/obo/CL_0000738
HP:0004852,Reduced leukocyte alkaline phosphatase,,http://purl.obolibrary.org/obo/CL_0000738
HP:0020047,Abnormal myeloid cell morphology,,http://purl.obolibrary.org/obo/CL_0000763
HP:0012130,Abnormal erythroid lineage cell morphology,,http://purl.obolibrary.org/obo/CL_0000764
HP:0001898,Increased red blood cell mass,,http://purl.obolibrary.org/obo/CL_0000764
HP:0034278,Multinucleated erythroblast,,http://purl.obolibrary.org/obo/CL_0000765
HP:0005510,Transient erythroblastopenia,,http://purl.obolibrary.org/obo/CL_0000765
HP:0010974,Abnormal myeloid leukocyte morphology,,http://purl.obolibrary.org/obo/CL_0000766
HP:0001912,Abnormal basophil morphology,,http://purl.obolibrary.org/obo/CL_0000767
HP:0031806,Abnormal total basophil count,,http://purl.obolibrary.org/obo/CL_0000767
HP:0031808,Decreased total basophil count,,http://purl.obolibrary.org/obo/CL_0000767
HP:0031807,Increased total basophil count,,http://purl.obolibrary.org/obo/CL_0000767
HP:0001879,Abnormal eosinophil morphology,,http://purl.obolibrary.org/obo/CL_0000771
HP:0020064,Abnormal total eosinophil count,,http://purl.obolibrary.org/obo/CL_0000771
HP:0031891,Decreased total eosinophil count,,http://purl.obolibrary.org/obo/CL_0000771
HP:0001880,Increased total eosinophil count,,http://purl.obolibrary.org/obo/CL_0000771
HP:0011992,Abnormal neutrophil morphology,,http://purl.obolibrary.org/obo/CL_0000775
HP:0011990,Abnormal neutrophil physiology,,http://purl.obolibrary.org/obo/CL_0000775
HP:0011991,Abnormal total neutrophil count,,http://purl.obolibrary.org/obo/CL_0000775
HP:0410310,Abnormality of neutrophil morphology in CSF,,http://purl.obolibrary.org/obo/CL_0000775
HP:0001874,Abnormality of neutrophils,,http://purl.obolibrary.org/obo/CL_0000775
HP:0001875,Decreased total neutrophil count,,http://purl.obolibrary.org/obo/CL_0000775
HP:0041044,Low neutrophil alkaline phosphatase,,http://purl.obolibrary.org/obo/CL_0000775
HP:0012085,Pyuria,,http://purl.obolibrary.org/obo/CL_0000775
HP:0005400,Reduction of neutrophil motility,,http://purl.obolibrary.org/obo/CL_0000775
HP:0030333,Abnormal alpha-beta T cell morphology,,http://purl.obolibrary.org/obo/CL_0000789
HP:0004808,Acute myeloid leukemia,,http://purl.obolibrary.org/obo/CL_0000835
HP:0003651,Foam cells,,http://purl.obolibrary.org/obo/CL_0000891
HP:0005561,Abnormal bone marrow cell morphology,,http://purl.obolibrary.org/obo/CL_0002092
HP:0012135,Abnormal granulocytopoietic cell morphology,,http://purl.obolibrary.org/obo/CL_0002191
HP:0012137,Abnormal number of granulocyte precursors,,http://purl.obolibrary.org/obo/CL_0002191
HP:0012138,Granulocytic hyperplasia,,http://purl.obolibrary.org/obo/CL_0002191
HP:0012139,Granulocytic hypoplasia,,http://purl.obolibrary.org/obo/CL_0002191
HP:0005152,Histiocytoid cardiomyopathy,,http://purl.obolibrary.org/obo/CL_0002198
HP:0002282,Gray matter heterotopia,,http://purl.obolibrary.org/obo/CL_0002319
HP:0012261,Abnormal respiratory motile cilium physiology,,http://purl.obolibrary.org/obo/CL_0002368
HP:0004312,Abnormal reticulocyte morphology,,http://purl.obolibrary.org/obo/CL_0002422
HP:0500262,Atrichia,,http://purl.obolibrary.org/obo/CL_0002559
HP:0025029,Abnormal enteric neuron morphology,,http://purl.obolibrary.org/obo/CL_0007011
HP:0025030,Enteric neuronal degeneration,,http://purl.obolibrary.org/obo/CL_0007011
HP:0030089,Abnormal muscle fiber protein expression,,http://purl.obolibrary.org/obo/CL_0008002
HP:0012084,Abnormality of skeletal muscle fiber size,,http://purl.obolibrary.org/obo/CL_0008002
HP:0003713,Muscle fiber necrosis,,http://purl.obolibrary.org/obo/CL_0008002
HP:0006802,Abnormal anterior horn cell morphology,,http://purl.obolibrary.org/obo/CL_0011001
HP:0012503,Abnormal pituitary gland morphology,http://purl.obolibrary.org/obo/UBERON_0000007,
HP:0012504,Abnormal size of pituitary gland,http://purl.obolibrary.org/obo/UBERON_0000007,
HP:0410279,Atrophic pituitary gland,http://purl.obolibrary.org/obo/UBERON_0000007,
HP:0012505,Enlarged pituitary gland,http://purl.obolibrary.org/obo/UBERON_0000007,
HP:0010514,Hyperpituitarism,http://purl.obolibrary.org/obo/UBERON_0000007,
HP:0040075,Hypopituitarism,http://purl.obolibrary.org/obo/UBERON_0000007,
HP:0010513,Pituitary calcification,http://purl.obolibrary.org/obo/UBERON_0000007,
HP:0410278,Pituitary gland cyst,http://purl.obolibrary.org/obo/UBERON_0000007,
HP:0012506,Small pituitary gland,http://purl.obolibrary.org/obo/UBERON_0000007,
HP:0002733,Abnormal lymph node morphology,http://purl.obolibrary.org/obo/UBERON_0000029,
HP:0100766,Abnormal lymphatic vessel morphology,http://purl.obolibrary.org/obo/UBERON_0000029,
HP:0002849,Absence of lymph node germinal center,http://purl.obolibrary.org/obo/UBERON_0000029,
HP:0045006,Aplasia of lymphatic vessels,http://purl.obolibrary.org/obo/UBERON_0000029,
HP:0003759,Hypoplasia of lymphatic vessels,http://purl.obolibrary.org/obo/UBERON_0000029,
HP:0002732,Lymph node hypoplasia,http://purl.obolibrary.org/obo/UBERON_0000029,
HP:0002840,Lymphadenitis,http://purl.obolibrary.org/obo/UBERON_0000029,
HP:0002716,Lymphadenopathy,http://purl.obolibrary.org/obo/UBERON_0000029,
HP:0031842,Lymphangiectasis,http://purl.obolibrary.org/obo/UBERON_0000029,
HP:0008181,Abetalipoproteinemia,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031888,Abnormal HDL cholesterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031886,Abnormal LDL cholesterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031889,Abnormal VLDL cholesterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500164,Abnormal blood carbon dioxide level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010929,Abnormal blood cation concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011422,Abnormal blood chloride concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040087,Abnormal blood folate concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012415,Abnormal blood gas level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011015,Abnormal blood glucose concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010927,Abnormal blood inorganic cation concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003111,Abnormal blood ion concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010930,Abnormal blood monovalent inorganic cation concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500165,Abnormal blood oxygen level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0100529,Abnormal blood phosphate concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010931,Abnormal blood sodium concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011030,Abnormal blood transition element cation concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031970,Abnormal blood urea nitrogen concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0008277,Abnormal blood zinc concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0031887,Abnormal chylomicron concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034934,Abnormal circulating 7-dehydrocholesterol concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0034025,Abnormal circulating GABA concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410240,Abnormal circulating IgA concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410244,Abnormal circulating IgD concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410241,Abnormal circulating IgE concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410242,Abnormal circulating IgG concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410243,Abnormal circulating IgM concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012071,Abnormal circulating acylcarnitine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011043,Abnormal circulating adrenocorticotropin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010916,Abnormal circulating alanine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0012116,Abnormal circulating albumin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040085,Abnormal circulating aldosterone concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0045056,Abnormal circulating alpha-fetoprotein concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0003112,Abnormal circulating amino acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500180,Abnormal circulating amino sulfonic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0410282,Abnormal circulating amylase concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0030347,Abnormal circulating androgen level,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010909,Abnormal circulating arginine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004338,Abnormal circulating aromatic amino acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500155,Abnormal circulating asparagine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010899,Abnormal circulating aspartate family amino acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500158,Abnormal circulating aspartic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0430072,Abnormal circulating beta-carotene concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0033479,Abnormal circulating bilirubin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0040210,Abnormal circulating biopterin concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010892,Abnormal circulating branched chain amino acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004363,Abnormal circulating calcium concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0011013,Abnormal circulating carbohydrate concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0004354,Abnormal circulating carboxylic acid concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0010967,Abnormal circulating carnitine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
HP:0500160,Abnormal circulating carnosine concentration,http://purl.obolibrary.org/obo/UBERON_0000178,
