gene_symbol,disease_id,onset_name,onset_id
ABL1,OMIM:208050,Juvenile onset,HP:0003621
ABL1,OMIM:208050,Pediatric onset,HP:0410280
ABL1,OMIM:617602,Congenital onset,HP:0003577
ACAD9,OMIM:611126,Congenital onset,HP:0003577
ACADS,OMIM:201470,Childhood onset,HP:0011463
ACADS,OMIM:201470,Pediatric onset,HP:0410280
ACADS,OMIM:201470,Neonatal onset,HP:0003623
ACADS,OMIM:201470,Infantile onset,HP:0003593
ACADSB,OMIM:610006,Infantile onset,HP:0003593
ACADSB,OMIM:610006,Childhood onset,HP:0011463
ACADSB,OMIM:610006,Pediatric onset,HP:0410280
ACADVL,OMIM:201475,Infantile onset,HP:0003593
ACADVL,OMIM:201475,Pediatric onset,HP:0410280
ACADVL,OMIM:201475,Neonatal onset,HP:0003623
ACAN,OMIM:131300,Pediatric onset,HP:0410280
ACAN,OMIM:131300,Juvenile onset,HP:0003621
ACBD5,OMIM:180100,Childhood onset,HP:0011463
ACBD5,OMIM:180100,Juvenile onset,HP:0003621
ACBD5,OMIM:180100,Pediatric onset,HP:0410280
ACER3,OMIM:617762,Pediatric onset,HP:0410280
ACER3,OMIM:617762,Infantile onset,HP:0003593
ACKR3,OMIM:619215,Congenital onset,HP:0003577
ACO2,OMIM:180100,Childhood onset,HP:0011463
ACO2,OMIM:180100,Juvenile onset,HP:0003621
ACO2,OMIM:614559,Pediatric onset,HP:0410280
ACO2,OMIM:614559,Infantile onset,HP:0003593
ACO2,OMIM:616289,Juvenile onset,HP:0003621
ACO2,OMIM:616289,Childhood onset,HP:0011463
ACOX1,OMIM:264470,Neonatal onset,HP:0003623
ACOX1,OMIM:264470,Infantile onset,HP:0003593
ACOX1,OMIM:264470,Pediatric onset,HP:0410280
ACOX2,OMIM:617308,Pediatric onset,HP:0410280
ACOX2,OMIM:617308,Infantile onset,HP:0003593
ACP5,OMIM:131300,Juvenile onset,HP:0003621
ACP5,OMIM:131300,Pediatric onset,HP:0410280
ACP5,OMIM:607944,Juvenile onset,HP:0003621
ACP5,OMIM:607944,Pediatric onset,HP:0410280
ACP5,OMIM:607944,Childhood onset,HP:0011463
ACP5,OMIM:607944,Congenital onset,HP:0003577
ACSL4,OMIM:300387,Childhood onset,HP:0011463
ACSL4,OMIM:300387,Pediatric onset,HP:0410280
ACSL5,OMIM:620357,Neonatal onset,HP:0003623
ACTA1,OMIM:616852,Pediatric onset,HP:0410280
ACTA1,OMIM:616852,Infantile onset,HP:0003593
ACTA1,OMIM:620265,Congenital onset,HP:0003577
ACTA1,OMIM:620278,Neonatal onset,HP:0003623
ACTA1,OMIM:620278,Congenital onset,HP:0003577
ACTA2,OMIM:613834,Congenital onset,HP:0003577
ACTB,OMIM:131300,Juvenile onset,HP:0003621
ACTB,OMIM:607371,Congenital onset,HP:0003577
ACTB,OMIM:620470,Infantile onset,HP:0003593
ACTB,OMIM:620470,Pediatric onset,HP:0410280
ACTB,OMIM:620475,Congenital onset,HP:0003577
ACTB,OMIM:620475,Infantile onset,HP:0003593
ACTB,OMIM:620475,Pediatric onset,HP:0410280
ACTC1,OMIM:612098,Pediatric onset,HP:0410280
ACTC1,OMIM:612098,Juvenile onset,HP:0003621
ACTC1,OMIM:613424,Juvenile onset,HP:0003621
ACTC1,OMIM:613424,Pediatric onset,HP:0410280
ACTC1,OMIM:613424,Childhood onset,HP:0011463
ACTG2,OMIM:619431,Congenital onset,HP:0003577
ACTL6B,OMIM:618470,Pediatric onset,HP:0410280
ACTL6B,OMIM:618470,Infantile onset,HP:0003593
ACTN2,OMIM:612158,Pediatric onset,HP:0410280
ACTN2,OMIM:612158,Juvenile onset,HP:0003621
ACVR1,OMIM:131300,Pediatric onset,HP:0410280
ACVR1,OMIM:131300,Juvenile onset,HP:0003621
ACVR1,OMIM:135100,Congenital onset,HP:0003577
ACVR2B,OMIM:613751,Congenital onset,HP:0003577
ACY1,OMIM:609924,Neonatal onset,HP:0003623
ADA,OMIM:102700,Neonatal onset,HP:0003623
ADA,OMIM:102700,Infantile onset,HP:0003593
ADA,OMIM:102700,Pediatric onset,HP:0410280
ADA2,OMIM:182410,Pediatric onset,HP:0410280
ADA2,OMIM:182410,Infantile onset,HP:0003593
ADA2,OMIM:615688,Pediatric onset,HP:0410280
ADA2,OMIM:615688,Juvenile onset,HP:0003621
ADA2,OMIM:615688,Neonatal onset,HP:0003623
ADA2,OMIM:615688,Childhood onset,HP:0011463
ADA2,OMIM:615688,Infantile onset,HP:0003593
ADAM10,OMIM:615537,Pediatric onset,HP:0410280
ADAM10,OMIM:615537,Childhood onset,HP:0011463
ADAM10,OMIM:615537,Juvenile onset,HP:0003621
ADAM22,OMIM:617933,Infantile onset,HP:0003593
ADAM22,OMIM:617933,Pediatric onset,HP:0410280
ADAM9,OMIM:180100,Pediatric onset,HP:0410280
ADAM9,OMIM:180100,Juvenile onset,HP:0003621
ADAM9,OMIM:180100,Childhood onset,HP:0011463
ADAMTS10,OMIM:131300,Juvenile onset,HP:0003621
ADAMTS10,OMIM:131300,Pediatric onset,HP:0410280
ADAMTS15,OMIM:620545,Congenital onset,HP:0003577
ADAMTS17,OMIM:131300,Juvenile onset,HP:0003621
ADAMTS17,OMIM:131300,Pediatric onset,HP:0410280
ADAMTS18,OMIM:180100,Pediatric onset,HP:0410280
ADAMTS18,OMIM:180100,Childhood onset,HP:0011463
ADAMTS18,OMIM:180100,Juvenile onset,HP:0003621
ADAMTS19,OMIM:620067,Childhood onset,HP:0011463
ADAMTS19,OMIM:620067,Pediatric onset,HP:0410280
ADAMTS19,OMIM:620067,Congenital onset,HP:0003577
ADAMTS2,OMIM:225410,Infantile onset,HP:0003593
ADAMTS2,OMIM:225410,Pediatric onset,HP:0410280
ADAMTS2,OMIM:225410,Congenital onset,HP:0003577
ADAMTS3,OMIM:618154,Congenital onset,HP:0003577
ADAMTSL2,OMIM:131300,Pediatric onset,HP:0410280
ADAMTSL2,OMIM:131300,Juvenile onset,HP:0003621
ADAR,OMIM:127400,Infantile onset,HP:0003593
ADAR,OMIM:127400,Pediatric onset,HP:0410280
ADAR,OMIM:615010,Infantile onset,HP:0003593
ADAR,OMIM:615010,Neonatal onset,HP:0003623
ADAR,OMIM:615010,Pediatric onset,HP:0410280
ADAR,OMIM:615010,Childhood onset,HP:0011463
ADAT3,OMIM:615286,Infantile onset,HP:0003593
ADAT3,OMIM:615286,Pediatric onset,HP:0410280
ADCY3,OMIM:617885,Childhood onset,HP:0011463
ADCY3,OMIM:617885,Infantile onset,HP:0003593
ADCY3,OMIM:617885,Pediatric onset,HP:0410280
ADCY5,OMIM:606703,Pediatric onset,HP:0410280
ADCY5,OMIM:606703,Infantile onset,HP:0003593
ADCY5,OMIM:606703,Juvenile onset,HP:0003621
ADCY5,OMIM:619651,Pediatric onset,HP:0410280
ADCY5,OMIM:619651,Infantile onset,HP:0003593
ADCY6,OMIM:616287,Congenital onset,HP:0003577
ADD3,OMIM:617008,Infantile onset,HP:0003593
ADD3,OMIM:617008,Pediatric onset,HP:0410280
ADGRA3,OMIM:180100,Pediatric onset,HP:0410280
ADGRA3,OMIM:180100,Childhood onset,HP:0011463
ADGRA3,OMIM:180100,Juvenile onset,HP:0003621
ADGRG1,OMIM:606854,Congenital onset,HP:0003577
ADGRG1,OMIM:615752,Pediatric onset,HP:0410280
ADGRG1,OMIM:615752,Infantile onset,HP:0003593
ADGRV1,OMIM:180100,Juvenile onset,HP:0003621
ADGRV1,OMIM:180100,Childhood onset,HP:0011463
ADGRV1,OMIM:604352,Pediatric onset,HP:0410280
ADGRV1,OMIM:604352,Infantile onset,HP:0003593
ADGRV1,OMIM:604352,Childhood onset,HP:0011463
ADIPOR1,OMIM:180100,Childhood onset,HP:0011463
ADIPOR1,OMIM:180100,Juvenile onset,HP:0003621
ADIPOR1,OMIM:180100,Pediatric onset,HP:0410280
ADK,OMIM:614300,Neonatal onset,HP:0003623
ADK,OMIM:614300,Infantile onset,HP:0003593
ADK,OMIM:614300,Pediatric onset,HP:0410280
ADNP,OMIM:615873,Congenital onset,HP:0003577
ADNP,OMIM:615873,Infantile onset,HP:0003593
ADNP,OMIM:615873,Pediatric onset,HP:0410280
ADNP,OMIM:615873,Neonatal onset,HP:0003623
ADNP,OMIM:615873,Juvenile onset,HP:0003621
ADPRS,OMIM:618170,Childhood onset,HP:0011463
ADPRS,OMIM:618170,Pediatric onset,HP:0410280
ADRA2A,OMIM:620679,Pediatric onset,HP:0410280
ADRA2A,OMIM:620679,Juvenile onset,HP:0003621
ADSL,OMIM:103050,Neonatal onset,HP:0003623
ADSL,OMIM:103050,Infantile onset,HP:0003593
ADSL,OMIM:103050,Congenital onset,HP:0003577
ADSL,OMIM:103050,Pediatric onset,HP:0410280
ADSS1,OMIM:617030,Juvenile onset,HP:0003621
ADSS1,OMIM:617030,Pediatric onset,HP:0410280
AEBP1,OMIM:121050,Congenital onset,HP:0003577
AEBP1,OMIM:208050,Childhood onset,HP:0011463
AEBP1,OMIM:208050,Neonatal onset,HP:0003623
AEBP1,OMIM:208050,Infantile onset,HP:0003593
AEBP1,OMIM:208050,Juvenile onset,HP:0003621
AEBP1,OMIM:208050,Pediatric onset,HP:0410280
AEBP1,OMIM:208050,Congenital onset,HP:0003577
AEBP1,OMIM:618000,Neonatal onset,HP:0003623
AEBP1,OMIM:618000,Congenital onset,HP:0003577
AEBP1,OMIM:618000,Infantile onset,HP:0003593
AEBP1,OMIM:618000,Pediatric onset,HP:0410280
AEBP1,OMIM:618000,Childhood onset,HP:0011463
AFF3,OMIM:131300,Juvenile onset,HP:0003621
AFF3,OMIM:131300,Pediatric onset,HP:0410280
AFF4,OMIM:616368,Congenital onset,HP:0003577
AFG2A,OMIM:616577,Congenital onset,HP:0003577
AFG2A,OMIM:616577,Pediatric onset,HP:0410280
AFG2A,OMIM:616577,Infantile onset,HP:0003593
AFG2B,OMIM:619615,Congenital onset,HP:0003577
AFG2B,OMIM:619615,Childhood onset,HP:0011463
AFG2B,OMIM:619616,Pediatric onset,HP:0410280
AFG2B,OMIM:619616,Infantile onset,HP:0003593
AFG3L2,OMIM:180100,Childhood onset,HP:0011463
AFG3L2,OMIM:180100,Juvenile onset,HP:0003621
AFG3L2,OMIM:610246,Juvenile onset,HP:0003621
AFG3L2,OMIM:614487,Infantile onset,HP:0003593
AFG3L2,OMIM:614487,Pediatric onset,HP:0410280
AFG3L2,OMIM:614487,Childhood onset,HP:0011463
AGA,OMIM:131300,Juvenile onset,HP:0003621
AGA,OMIM:131300,Pediatric onset,HP:0410280
AGA,OMIM:208400,Childhood onset,HP:0011463
AGBL5,OMIM:180100,Juvenile onset,HP:0003621
AGBL5,OMIM:180100,Childhood onset,HP:0011463
AGBL5,OMIM:180100,Pediatric onset,HP:0410280
AGBL5,OMIM:617023,Pediatric onset,HP:0410280
AGBL5,OMIM:617023,Juvenile onset,HP:0003621
AGK,OMIM:212350,Neonatal onset,HP:0003623
AGK,OMIM:212350,Infantile onset,HP:0003593
AGK,OMIM:212350,Pediatric onset,HP:0410280
AGK,OMIM:614691,Congenital onset,HP:0003577
AGO1,OMIM:620292,Pediatric onset,HP:0410280
AGO1,OMIM:620292,Infantile onset,HP:0003593
AGO2,OMIM:619149,Pediatric onset,HP:0410280
AGO2,OMIM:619149,Infantile onset,HP:0003593
AGPAT2,OMIM:608594,Congenital onset,HP:0003577
AGPAT2,OMIM:608594,Neonatal onset,HP:0003623
AGPAT2,OMIM:608594,Childhood onset,HP:0011463
AGPAT2,OMIM:608594,Pediatric onset,HP:0410280
AGPS,OMIM:131300,Juvenile onset,HP:0003621
AGPS,OMIM:131300,Pediatric onset,HP:0410280
AGR2,OMIM:620233,Neonatal onset,HP:0003623
AGR2,OMIM:620233,Infantile onset,HP:0003593
AGR2,OMIM:620233,Pediatric onset,HP:0410280
AGR2,OMIM:620233,Congenital onset,HP:0003577
AGR2,OMIM:620233,Childhood onset,HP:0011463
AGRN,OMIM:254300,Childhood onset,HP:0011463
AGRN,OMIM:254300,Pediatric onset,HP:0410280
AGRN,OMIM:254300,Juvenile onset,HP:0003621
AGRN,OMIM:615120,Childhood onset,HP:0011463
AGTPBP1,OMIM:618276,Infantile onset,HP:0003593
AGTPBP1,OMIM:618276,Congenital onset,HP:0003577
AGTPBP1,OMIM:618276,Childhood onset,HP:0011463
AGTPBP1,OMIM:618276,Pediatric onset,HP:0410280
AGXT,OMIM:259900,Infantile onset,HP:0003593
AGXT,OMIM:259900,Pediatric onset,HP:0410280
AHCY,OMIM:613752,Infantile onset,HP:0003593
AHCY,OMIM:613752,Pediatric onset,HP:0410280
AHDC1,OMIM:615829,Congenital onset,HP:0003577
AHDC1,OMIM:615829,Infantile onset,HP:0003593
AHDC1,OMIM:615829,Neonatal onset,HP:0003623
AHDC1,OMIM:615829,Pediatric onset,HP:0410280
AHDC1,OMIM:615829,Childhood onset,HP:0011463
AHI1,OMIM:180100,Childhood onset,HP:0011463
AHI1,OMIM:180100,Juvenile onset,HP:0003621
AHI1,OMIM:180100,Pediatric onset,HP:0410280
AHR,OMIM:180100,Juvenile onset,HP:0003621
AHR,OMIM:180100,Pediatric onset,HP:0410280
AHR,OMIM:180100,Childhood onset,HP:0011463
AICDA,OMIM:605258,Pediatric onset,HP:0410280
AICDA,OMIM:605258,Childhood onset,HP:0011463
AIFM1,OMIM:131300,Juvenile onset,HP:0003621
AIFM1,OMIM:300232,Childhood onset,HP:0011463
AIFM1,OMIM:300614,Childhood onset,HP:0011463
AIFM1,OMIM:300816,Pediatric onset,HP:0410280
AIFM1,OMIM:300816,Infantile onset,HP:0003593
AIMP1,OMIM:260600,Infantile onset,HP:0003593
AIMP1,OMIM:260600,Pediatric onset,HP:0410280
AIMP2,OMIM:618006,Pediatric onset,HP:0410280
AIMP2,OMIM:618006,Infantile onset,HP:0003593
AIPL1,OMIM:180100,Childhood onset,HP:0011463
AIPL1,OMIM:180100,Juvenile onset,HP:0003621
AIPL1,OMIM:180100,Pediatric onset,HP:0410280
AIRE,OMIM:240300,Neonatal onset,HP:0003623
AIRE,OMIM:240300,Infantile onset,HP:0003593
AIRE,OMIM:240300,Childhood onset,HP:0011463
AIRE,OMIM:240300,Juvenile onset,HP:0003621
AIRE,OMIM:240300,Pediatric onset,HP:0410280
AKAP9,OMIM:611820,Pediatric onset,HP:0410280
AKAP9,OMIM:611820,Juvenile onset,HP:0003621
AKR1D1,OMIM:235555,Neonatal onset,HP:0003623
AKT1,OMIM:176920,Infantile onset,HP:0003593
AKT1,OMIM:176920,Pediatric onset,HP:0410280
AKT2,OMIM:240900,Congenital onset,HP:0003577
AKT2,OMIM:240900,Infantile onset,HP:0003593
AKT2,OMIM:240900,Pediatric onset,HP:0410280
ALAD,OMIM:612740,Congenital onset,HP:0003577
ALAS2,OMIM:300751,Pediatric onset,HP:0410280
ALAS2,OMIM:300751,Childhood onset,HP:0011463
ALAS2,OMIM:300752,Childhood onset,HP:0011463
ALAS2,OMIM:300752,Pediatric onset,HP:0410280
ALDH18A1,OMIM:219150,Infantile onset,HP:0003593
ALDH18A1,OMIM:219150,Pediatric onset,HP:0410280
ALDH18A1,OMIM:601162,Juvenile onset,HP:0003621
ALDH18A1,OMIM:616586,Juvenile onset,HP:0003621
ALDH18A1,OMIM:616586,Infantile onset,HP:0003593
ALDH18A1,OMIM:616586,Pediatric onset,HP:0410280
ALDH18A1,OMIM:616603,Congenital onset,HP:0003577
ALDH1A3,OMIM:615113,Congenital onset,HP:0003577
ALDH3A2,OMIM:270200,Congenital onset,HP:0003577
ALDH5A1,OMIM:271980,Juvenile onset,HP:0003621
ALDH5A1,OMIM:271980,Childhood onset,HP:0011463
ALDH5A1,OMIM:271980,Infantile onset,HP:0003593
ALDH5A1,OMIM:271980,Pediatric onset,HP:0410280
ALDH6A1,OMIM:614105,Infantile onset,HP:0003593
ALDH6A1,OMIM:614105,Pediatric onset,HP:0410280
ALDH7A1,OMIM:266100,Neonatal onset,HP:0003623
ALDOA,OMIM:611881,Pediatric onset,HP:0410280
ALDOA,OMIM:611881,Infantile onset,HP:0003593
ALG10B,OMIM:613688,Pediatric onset,HP:0410280
ALG10B,OMIM:613688,Childhood onset,HP:0011463
ALG10B,OMIM:613688,Early young adult onset,HP:0025708
ALG11,OMIM:613661,Neonatal onset,HP:0003623
ALG11,OMIM:613661,Pediatric onset,HP:0410280
ALG11,OMIM:613661,Infantile onset,HP:0003593
ALG12,OMIM:131300,Juvenile onset,HP:0003621
ALG12,OMIM:607143,Neonatal onset,HP:0003623
ALG12,OMIM:607143,Pediatric onset,HP:0410280
ALG12,OMIM:607143,Infantile onset,HP:0003593
ALG13,OMIM:300884,Pediatric onset,HP:0410280
ALG13,OMIM:300884,Infantile onset,HP:0003593
ALG14,OMIM:619031,Infantile onset,HP:0003593
ALG14,OMIM:619031,Pediatric onset,HP:0410280
ALG2,OMIM:607906,Pediatric onset,HP:0410280
ALG2,OMIM:607906,Infantile onset,HP:0003593
ALG2,OMIM:607906,Childhood onset,HP:0011463
ALG2,OMIM:616228,Infantile onset,HP:0003593
ALG2,OMIM:616228,Pediatric onset,HP:0410280
ALG2,OMIM:616228,Childhood onset,HP:0011463
ALG3,OMIM:131300,Juvenile onset,HP:0003621
ALG3,OMIM:131300,Pediatric onset,HP:0410280
ALG3,OMIM:601110,Congenital onset,HP:0003577
ALG6,OMIM:603147,Juvenile onset,HP:0003621
ALG6,OMIM:603147,Pediatric onset,HP:0410280
ALG8,OMIM:608104,Infantile onset,HP:0003593
ALG8,OMIM:608104,Pediatric onset,HP:0410280
ALG8,OMIM:608104,Congenital onset,HP:0003577
ALG9,OMIM:131300,Juvenile onset,HP:0003621
ALG9,OMIM:263210,Congenital onset,HP:0003577
ALG9,OMIM:608776,Infantile onset,HP:0003593
ALG9,OMIM:608776,Pediatric onset,HP:0410280
ALMS1,OMIM:131300,Pediatric onset,HP:0410280
ALMS1,OMIM:131300,Juvenile onset,HP:0003621
ALMS1,OMIM:180100,Childhood onset,HP:0011463
ALMS1,OMIM:180100,Pediatric onset,HP:0410280
ALMS1,OMIM:180100,Juvenile onset,HP:0003621
ALMS1,OMIM:203800,Congenital onset,HP:0003577
ALOX12B,OMIM:242100,Congenital onset,HP:0003577
ALOXE3,OMIM:242100,Congenital onset,HP:0003577
ALOXE3,OMIM:606545,Congenital onset,HP:0003577
ALPK1,OMIM:180100,Childhood onset,HP:0011463
ALPK1,OMIM:180100,Juvenile onset,HP:0003621
ALPK1,OMIM:180100,Pediatric onset,HP:0410280
ALPK1,OMIM:614979,Juvenile onset,HP:0003621
ALPK1,OMIM:614979,Pediatric onset,HP:0410280
ALPK3,OMIM:618052,Childhood onset,HP:0011463
ALPK3,OMIM:618052,Congenital onset,HP:0003577
ALPK3,OMIM:618052,Infantile onset,HP:0003593
ALPK3,OMIM:618052,Pediatric onset,HP:0410280
ALPL,OMIM:131300,Juvenile onset,HP:0003621
ALPL,OMIM:259770,Infantile onset,HP:0003593
ALPL,OMIM:259770,Pediatric onset,HP:0410280
ALPL,OMIM:259770,Congenital onset,HP:0003577
ALS2,OMIM:205100,Childhood onset,HP:0011463
ALS2,OMIM:606353,Childhood onset,HP:0011463
ALS2,OMIM:607225,Infantile onset,HP:0003593
ALS2,OMIM:607225,Childhood onset,HP:0011463
ALS2,OMIM:607225,Pediatric onset,HP:0410280
ALX1,OMIM:131300,Juvenile onset,HP:0003621
ALX1,OMIM:131300,Pediatric onset,HP:0410280
ALX3,OMIM:131300,Juvenile onset,HP:0003621
ALX3,OMIM:131300,Pediatric onset,HP:0410280
ALX4,OMIM:131300,Pediatric onset,HP:0410280
ALX4,OMIM:131300,Juvenile onset,HP:0003621
ALX4,OMIM:609597,Congenital onset,HP:0003577
ALX4,OMIM:613451,Congenital onset,HP:0003577
AMACR,OMIM:180100,Juvenile onset,HP:0003621
AMACR,OMIM:180100,Pediatric onset,HP:0410280
AMACR,OMIM:180100,Childhood onset,HP:0011463
AMACR,OMIM:214950,Neonatal onset,HP:0003623
AMBN,OMIM:259770,Congenital onset,HP:0003577
AMBN,OMIM:259770,Pediatric onset,HP:0410280
AMBN,OMIM:259770,Infantile onset,HP:0003593
AMBN,OMIM:616270,Infantile onset,HP:0003593
AMBN,OMIM:616270,Pediatric onset,HP:0410280
AMER1,OMIM:131300,Pediatric onset,HP:0410280
AMER1,OMIM:131300,Juvenile onset,HP:0003621
AMFR,OMIM:620379,Pediatric onset,HP:0410280
AMFR,OMIM:620379,Infantile onset,HP:0003593
AMFR,OMIM:620379,Childhood onset,HP:0011463
AMH,OMIM:261550,Congenital onset,HP:0003577
AMHR2,OMIM:261550,Congenital onset,HP:0003577
AMMECR1,OMIM:131300,Juvenile onset,HP:0003621
AMMECR1,OMIM:300990,Pediatric onset,HP:0410280
AMMECR1,OMIM:300990,Infantile onset,HP:0003593
AMN,OMIM:618882,Childhood onset,HP:0011463
AMN,OMIM:618882,Pediatric onset,HP:0410280
AMPD2,OMIM:615809,Infantile onset,HP:0003593
AMPD2,OMIM:615809,Congenital onset,HP:0003577
AMPD2,OMIM:615809,Pediatric onset,HP:0410280
AMT,OMIM:620398,Pediatric onset,HP:0410280
AMT,OMIM:620398,Neonatal onset,HP:0003623
AMT,OMIM:620398,Childhood onset,HP:0011463
AMTN,OMIM:617607,Infantile onset,HP:0003593
AMTN,OMIM:617607,Pediatric onset,HP:0410280
ANAPC7,OMIM:619699,Infantile onset,HP:0003593
ANAPC7,OMIM:619699,Pediatric onset,HP:0410280
ANGPT2,OMIM:619369,Infantile onset,HP:0003593
ANGPT2,OMIM:619369,Pediatric onset,HP:0410280
ANK1,OMIM:182900,Pediatric onset,HP:0410280
ANK1,OMIM:182900,Childhood onset,HP:0011463
ANK1,OMIM:182900,Infantile onset,HP:0003593
ANK1,OMIM:182900,Juvenile onset,HP:0003621
ANK1,OMIM:182900,Neonatal onset,HP:0003623
ANKH,OMIM:123000,Childhood onset,HP:0011463
ANKH,OMIM:123000,Juvenile onset,HP:0003621
ANKH,OMIM:123000,Pediatric onset,HP:0410280
ANKH,OMIM:123000,Infantile onset,HP:0003593
ANKH,OMIM:123000,Congenital onset,HP:0003577
ANKH,OMIM:131300,Juvenile onset,HP:0003621
ANKLE2,OMIM:616681,Congenital onset,HP:0003577
ANKRD11,OMIM:131300,Pediatric onset,HP:0410280
ANKRD11,OMIM:131300,Juvenile onset,HP:0003621
ANKS6,OMIM:615382,Childhood onset,HP:0011463
ANKS6,OMIM:615382,Pediatric onset,HP:0410280
ANKS6,OMIM:615382,Congenital onset,HP:0003577
ANKS6,OMIM:615382,Infantile onset,HP:0003593
ANKS6,OMIM:615382,Juvenile onset,HP:0003621
ANLN,OMIM:616032,Pediatric onset,HP:0410280
ANLN,OMIM:616032,Juvenile onset,HP:0003621
ANO1,OMIM:620045,Neonatal onset,HP:0003623
ANO1,OMIM:620045,Congenital onset,HP:0003577
ANO1,OMIM:620687,Childhood onset,HP:0011463
ANO1,OMIM:620687,Pediatric onset,HP:0410280
ANO10,OMIM:613728,Juvenile onset,HP:0003621
ANO10,OMIM:613728,Pediatric onset,HP:0410280
ANO3,OMIM:615034,Juvenile onset,HP:0003621
ANO3,OMIM:615034,Pediatric onset,HP:0410280
ANO5,OMIM:131300,Pediatric onset,HP:0410280
ANO5,OMIM:131300,Juvenile onset,HP:0003621
ANO5,OMIM:166260,Juvenile onset,HP:0003621
ANO5,OMIM:166260,Pediatric onset,HP:0410280
ANOS1,OMIM:146110,Juvenile onset,HP:0003621
ANOS1,OMIM:308700,Pediatric onset,HP:0410280
ANOS1,OMIM:308700,Infantile onset,HP:0003593
ANOS1,OMIM:308700,Congenital onset,HP:0003577
ANTXR1,OMIM:602089,Infantile onset,HP:0003593
ANTXR1,OMIM:602089,Pediatric onset,HP:0410280
