gene_label,ct_label,as_label,as,ct,gene
AC092684.1,Thex_450 thalamic excitatory neuron (Hsap),thalamus,https://purl.org/ccf/ASCTB-TEMP_thalamus,http://purl.obolibrary.org/obo/PCL_0051451,https://purl.org/ccf/ASCTB-TEMP_ac092684-1
AC092684.1,Thex_451 thalamic excitatory neuron (Hsap),thalamus,https://purl.org/ccf/ASCTB-TEMP_thalamus,http://purl.obolibrary.org/obo/PCL_0051452,https://purl.org/ccf/ASCTB-TEMP_ac092684-1
AC092684.1,Amex_173 amygdala excitatory neuron (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051174,https://purl.org/ccf/ASCTB-TEMP_ac092684-1
AC114765.1,DLCT6b_109 glutamatergic neuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051110,https://purl.org/ccf/ASCTB-TEMP_ac114765-1
AC133680.1,CGE_289 VIP GABAergic cortical interneuron (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051290,https://purl.org/ccf/ASCTB-TEMP_ac133680-1
AC133680.1,MGE_261 pvalb GABAergic cortical interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051262,https://purl.org/ccf/ASCTB-TEMP_ac133680-1
AC133680.1,MGE_263 medial ganglionic eminence derived interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051264,https://purl.org/ccf/ASCTB-TEMP_ac133680-1
AC133680.1,EMSN_233 medium spiny neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051234,https://purl.org/ccf/ASCTB-TEMP_ac133680-1
ACKR4,lymphatic endothelial cell of medulla ceiling,subcapsular sinus of lymph node,http://purl.obolibrary.org/obo/UBERON_0005463,http://purl.obolibrary.org/obo/CL_0009110,http://identifiers.org/hgnc/1611
ACKR4,endothelial cell of lymphatic vessel,efferent lymphatic vessel,http://purl.obolibrary.org/obo/UBERON_0010397,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/1611
ACKR4,endothelial cell of lymphatic vessel,lymphatic vessel,http://purl.obolibrary.org/obo/UBERON_0001473,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/1611
ACKR4,endothelial cell of lymphatic vessel,lymph node paracortical sinus,http://purl.obolibrary.org/obo/UBERON_8410074,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/1611
ACKR4,lymphatic endothelial cell of trabecula,trabecular sinus of lymph node,http://purl.obolibrary.org/obo/UBERON_8410032,http://purl.obolibrary.org/obo/CL_0009109,http://identifiers.org/hgnc/1611
ACKR4,lymphatic endothelial cell of subcapsular sinus ceiling,subcapsular sinus ceiling,http://purl.obolibrary.org/obo/UBERON_8410071,http://purl.obolibrary.org/obo/CL_0009107,http://identifiers.org/hgnc/1611
ACKR4,lymphatic endothelial cell of subcapsular sinus floor,subcapsular sinus floor,http://purl.obolibrary.org/obo/UBERON_8410072,http://purl.obolibrary.org/obo/CL_0009108,http://identifiers.org/hgnc/1611
ACKR4,endothelial cell of lymphatic vessel,lymph node medullary sinus,http://purl.obolibrary.org/obo/UBERON_0009744,http://purl.obolibrary.org/obo/CL_0002138,http://identifiers.org/hgnc/1611
ACP3,luminal cell of prostate epithelium,prostate glandular acinus,http://purl.obolibrary.org/obo/UBERON_0004179,http://purl.obolibrary.org/obo/CL_0002340,http://identifiers.org/hgnc/125
ACSM2A,epithelial cell of proximal tubule segment 2,proximal convoluted tubule segment 2,http://purl.obolibrary.org/obo/UBERON_0004197,http://purl.obolibrary.org/obo/CL_4030010,http://identifiers.org/hgnc/32017
ACTA1,myo-medullary thymic epithelial cell,thymus epithelium,http://purl.obolibrary.org/obo/UBERON_0003846,http://purl.obolibrary.org/obo/CL_0009075,http://identifiers.org/hgnc/129
ACTA2-AS1,detrusor smooth muscle cell of bladder,urinary bladder detrusor smooth muscle,http://purl.obolibrary.org/obo/UBERON_0000381,https://purl.org/ccf/ASCTB-TEMP_detrusor-smooth-muscle-cell-of-bladder,http://identifiers.org/hgnc/45169
ACTA2-AS1,pericyte cell of bladder,urinary bladder vasculature,http://purl.obolibrary.org/obo/UBERON_0012239,https://purl.org/ccf/ASCTB-TEMP_pericyte-cell-of-bladder,http://identifiers.org/hgnc/45169
ACTA2-AS1,vascular smooth muscle cell of bladder,urinary bladder vasculature,http://purl.obolibrary.org/obo/UBERON_0012239,https://purl.org/ccf/ASCTB-TEMP_vascular-smooth-muscle-cell-of-bladder,http://identifiers.org/hgnc/45169
ACTG1,bronchiolar smooth muscle cell,smooth muscle tissue of respiratory bronchiole,http://purl.obolibrary.org/obo/UBERON_0004517,http://purl.obolibrary.org/obo/CL_4033017,http://identifiers.org/hgnc/144
ACTG1,secondary crest myofibroblast,lung connective tissue,http://purl.obolibrary.org/obo/UBERON_0000114,http://purl.obolibrary.org/obo/CL_4033016,http://identifiers.org/hgnc/144
ACTN1,mature CD8 single-positive thymocyte,thymus corticomedullary boundary,http://purl.obolibrary.org/obo/UBERON_0003988,http://purl.obolibrary.org/obo/CL_0002437,http://identifiers.org/hgnc/163
ACTN1,CD8aa(II) thymocyte,medulla of thymus,http://purl.obolibrary.org/obo/UBERON_0002124,http://purl.obolibrary.org/obo/CL_0009069,http://identifiers.org/hgnc/163
ACTN1,mature CD8 single-positive thymocyte,medulla of thymus,http://purl.obolibrary.org/obo/UBERON_0002124,http://purl.obolibrary.org/obo/CL_0002437,http://identifiers.org/hgnc/163
ACVR1C,Exc L2 LINC00507 ATP7B primary motor cortex glutamatergic neuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015074,http://identifiers.org/hgnc/18123
ADA,common lymphoid progenitor,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,http://purl.obolibrary.org/obo/CL_0000051,http://identifiers.org/hgnc/186
ADAM28,unswitched memory B cell,thymus corticomedullary boundary,http://purl.obolibrary.org/obo/UBERON_0003988,http://purl.obolibrary.org/obo/CL_0000970,http://identifiers.org/hgnc/206
ADAM28,class switched memory B cell,thymus corticomedullary boundary,http://purl.obolibrary.org/obo/UBERON_0003988,http://purl.obolibrary.org/obo/CL_0000972,http://identifiers.org/hgnc/206
ADAM33,Inh L1 PVALB-like SST ASIC4 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015016,http://identifiers.org/hgnc/15478
ADAM33,CGE_282 caudal ganglionic eminence derived cortical interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051283,http://identifiers.org/hgnc/15478
ADAMTS12,Exc L5 FEZF2 NREP-AS1 primary motor cortex glutamatergic neuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015114,http://identifiers.org/hgnc/14605
ADAMTS12,Thex_450 thalamic excitatory neuron (Hsap),thalamus,https://purl.org/ccf/ASCTB-TEMP_thalamus,http://purl.obolibrary.org/obo/PCL_0051451,http://identifiers.org/hgnc/14605
ADAMTS12,Inh L1-2 PVALB CDK20 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015066,http://identifiers.org/hgnc/14605
ADAMTS16,DLIT_146 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051147,http://identifiers.org/hgnc/17108
ADAMTS17,MGE_261 pvalb GABAergic cortical interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051262,http://identifiers.org/hgnc/17109
ADAMTS17,MGE_256 pvalb GABAergic cortical interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051257,http://identifiers.org/hgnc/17109
ADAMTS17,ULIT_133 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051134,http://identifiers.org/hgnc/17109
ADAMTS17,Inh L2-5 PVALB HHIPL1 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015063,http://identifiers.org/hgnc/17109
ADAMTS20,MGE_254 sst GABAergic cortical interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051255,http://identifiers.org/hgnc/17178
ADAMTS20,LRL_316 neuron (Hsap),gray matter of hindbrain,http://purl.obolibrary.org/obo/UBERON_0019263,http://purl.obolibrary.org/obo/PCL_0051317,http://identifiers.org/hgnc/17178
ADAMTS20,Inh L5-6 SST C4orf26 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015055,http://identifiers.org/hgnc/17178
ADAMTS20,CGE_287 lamp5 GABAergic cortical interneuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051288,http://identifiers.org/hgnc/17178
ADAMTS20,Inh L1 LAMP5 RAB11FIP1 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015002,http://identifiers.org/hgnc/17178
ADAMTS20,Inh L2-5 PVALB HHIPL1 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015063,http://identifiers.org/hgnc/17178
ADAMTS3,EMSN_230 medium spiny neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051231,http://identifiers.org/hgnc/219
ADAMTS3,DLIT_148 intratelencephalic-projecting glutamatergic cortical neuron (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051149,http://identifiers.org/hgnc/219
ADAMTS6,vasa recta descending limb cell,descending vasa recta,http://purl.obolibrary.org/obo/UBERON_0009202,http://purl.obolibrary.org/obo/CL_1001285,http://identifiers.org/hgnc/222
ADAMTS6,kidney afferent arteriole endothelial cell,renal afferent arteriole,http://purl.obolibrary.org/obo/UBERON_0004639,http://purl.obolibrary.org/obo/CL_1001096,http://identifiers.org/hgnc/222
ADAMTS6,kidney efferent arteriole endothelial cell,renal efferent arteriole,http://purl.obolibrary.org/obo/UBERON_0004640,http://purl.obolibrary.org/obo/CL_1001099,http://identifiers.org/hgnc/222
ADAMTS6,vasa recta descending limb cell,endothelium,http://purl.obolibrary.org/obo/UBERON_0001986,http://purl.obolibrary.org/obo/CL_1001285,http://identifiers.org/hgnc/222
ADAMTS9-AS2,MGE_262 pvalb GABAergic cortical interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051263,http://identifiers.org/hgnc/42435
ADAMTS9-AS2,MGE_250 medial ganglionic eminence derived interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051251,http://identifiers.org/hgnc/42435
ADAMTS9-AS2,LLC_270 interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051271,http://identifiers.org/hgnc/42435
ADAMTSL1,Splat_350 neuron (Hsap),medulla oblongata,http://purl.obolibrary.org/obo/UBERON_0001896,http://purl.obolibrary.org/obo/PCL_0051351,http://identifiers.org/hgnc/14632
ADAMTSL1,DLCT6b_108 glutamatergic neuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051109,http://identifiers.org/hgnc/14632
ADAMTSL1,DLCT6b_102 glutamatergic neuron (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051103,http://identifiers.org/hgnc/14632
ADAMTSL1,Exc L5-6 FEZF2 SH2D1B primary motor cortex glutamatergic neuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015103,http://identifiers.org/hgnc/14632
ADAMTSL1,Inh L5-6 SST BEAN1 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015053,http://identifiers.org/hgnc/14632
ADAMTSL1,Inh L2-5 VIP SOX11 primary motor cortex GABAergic interneuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015034,http://identifiers.org/hgnc/14632
ADAMTSL1,EMSN_228 medium spiny neuron (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051229,http://identifiers.org/hgnc/14632
ADAMTSL1,EMSN_229 medium spiny neuron (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051230,http://identifiers.org/hgnc/14632
ADAMTSL1,MGE_242 medial ganglionic eminence derived interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051243,http://identifiers.org/hgnc/14632
ADARB2,neuron,lumbar spinal cord dorsal horn,http://purl.obolibrary.org/obo/UBERON_0014638,http://purl.obolibrary.org/obo/CL_0000540,http://identifiers.org/hgnc/227
ADARB2,Splat_422 neuron (Hsap),brain,http://purl.obolibrary.org/obo/UBERON_0000955,http://purl.obolibrary.org/obo/PCL_0051423,http://identifiers.org/hgnc/227
ADCY3,renal interstitial pericyte,kidney blood vessel,http://purl.obolibrary.org/obo/UBERON_0003517,http://purl.obolibrary.org/obo/CL_1001318,http://identifiers.org/hgnc/234
ADD3,mature CD4 single-positive thymocyte,thymus corticomedullary boundary,http://purl.obolibrary.org/obo/UBERON_0003988,http://purl.obolibrary.org/obo/CL_0002436,http://identifiers.org/hgnc/245
ADD3,mature CD4 single-positive thymocyte,medulla of thymus,http://purl.obolibrary.org/obo/UBERON_0002124,http://purl.obolibrary.org/obo/CL_0002436,http://identifiers.org/hgnc/245
ADD3-AS1,Exc L6 FEZF2 POGK primary motor cortex glutamatergic neuron (Hsap),primary motor cortex,http://purl.obolibrary.org/obo/UBERON_0001384,http://purl.obolibrary.org/obo/PCL_0015109,http://identifiers.org/hgnc/48682
ADGRD2,Epen_67 ependymal cell (Hsap),gray matter of hindbrain,http://purl.obolibrary.org/obo/UBERON_0019263,http://purl.obolibrary.org/obo/PCL_0051068,http://identifiers.org/hgnc/18651
ADGRE1,"dendritic cell, human",Liver immune resident component,https://purl.org/ccf/ASCTB-TEMP_liver-immune-resident-component,http://purl.obolibrary.org/obo/CL_0001056,http://identifiers.org/hgnc/3336
ADGRG6,MGE_251 medial ganglionic eminence derived interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051252,http://identifiers.org/hgnc/13841
ADGRG6,MGE_250 medial ganglionic eminence derived interneuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051251,http://identifiers.org/hgnc/13841
ADGRG6,LLC_271 interneuron (Hsap),gray matter of forebrain,http://purl.obolibrary.org/obo/UBERON_0019264,http://purl.obolibrary.org/obo/PCL_0051272,http://identifiers.org/hgnc/13841
ADIPOR1,erythroid lineage cell,bone marrow,http://purl.obolibrary.org/obo/UBERON_0002371,http://purl.obolibrary.org/obo/CL_0000764,http://identifiers.org/hgnc/24040
ADRA1A,DG_202 dentate gyrus granule cell (Hsap),hippocampal formation,http://purl.obolibrary.org/obo/UBERON_0002421,http://purl.obolibrary.org/obo/PCL_0051203,http://identifiers.org/hgnc/277
ADRA1A,blood vessel smooth muscle cell,kidney blood vessel,http://purl.obolibrary.org/obo/UBERON_0003517,http://purl.obolibrary.org/obo/CL_0019018,http://identifiers.org/hgnc/277
ADRA1A,DLNP_86 near-projecting glutamatergic cortical neuron (Hsap),cerebral cortex,http://purl.obolibrary.org/obo/UBERON_0000956,http://purl.obolibrary.org/obo/PCL_0051087,http://identifiers.org/hgnc/277
